,@id,amenity,name,@lat,@lon,contact:phone,contact:website,addr:city,addr:street
0,86001794,restaurant,Bocca di Bacco,52.5151154,13.3889505,+49 30 206 72828,http://www.boccadibacco.de/,Berlin,Friedrichstraße
1,86001798,restaurant,Restaurant Borchardt,52.5150034,13.3903882,+49 30 81886262,,Berlin,Französische Straße
2,86001800,restaurant,Charlotte & Fritz,52.5150373,13.3907724,,https://charlotteundfritz.com/,Berlin,Charlottenstraße
3,86001813,restaurant,Aigner,52.514689,13.3909281,,,Berlin,Französische Straße
4,86001825,bar,Lutter & Wegner,52.5132123,13.3911782,,,Berlin,Charlottenstraße
5,86001833,restaurant,Malatesta,52.5124049,13.3913074,,,Berlin,Charlottenstraße
6,86001837,restaurant,Fellini,52.5120539,13.3922763,,,,
7,86001846,bar,Shan's Bistro,52.5130816,13.3935532,,,,
8,87040391,restaurant,Maximilians,52.5113441,13.3891811,+49 30 20450559,https://www.maximilians-berlin.de/,Berlin,Friedrichstraße
9,87040394,bar,Izumi Sushi Bar,52.511292,13.3887116,,,Berlin,Kronenstraße
10,380498020,restaurant,Kubrat,52.5100835,13.389129,,http://www.hotel-kubrat.de/,Berlin,Leipziger Straße
11,531282072,restaurant,Morélos,52.5041463,13.3812523,,,Berlin,Askanischer Platz
12,531283073,restaurant,Veli's Restaurant,52.5055987,13.3805743,,,Berlin,Stresemannstraße
13,531323963,restaurant,Stadtklause,52.5047492,13.3806625,+49 3051056381,,Berlin,Bernburger Straße
14,531325548,restaurant,Osteria Caruso,52.506311,13.3770107,,,Berlin,Köthener Straße
15,619526701,restaurant,Erdinger am Gendarmenmarkt,52.5142926,13.3933731,,,Berlin,Jägerstraße
16,619526702,restaurant,Goodtime,52.51271,13.397045,,,Berlin,Hausvogteiplatz
17,660678960,bar,China City,52.510634,13.3976268,,,Berlin,Leipziger Straße
18,667022750,restaurant,Ristorante Fontana di Trevi,52.5112961,13.3978043,,,,
19,739193777,restaurant,Sapa Sushi,52.5114214,13.3912474,,,Berlin,Kronenstraße
20,775857971,restaurant,Delikat am Spittelmarkt,52.5088691,13.4049092,,,,
21,875190277,restaurant,Cadadia,52.5114368,13.391466,+49 30 346 20808,http://www.cadadia.com/,Berlin,Charlottenstraße
22,901804851,restaurant,Augustiner am Gendarmenmarkt,52.5138083,13.391068,+49 30 20454020,http://www.augustiner-braeu-berlin.de,Berlin,Charlottenstraße
23,915773475,restaurant,Lungomare,52.5094177,13.3918636,,,Berlin,Krausenstraße
24,918183881,restaurant,Dolcini,52.5138299,13.3867623,,,Berlin,Jägerstraße
25,919906120,restaurant,La Via del Muro,52.5088616,13.3886209,,,Berlin,Mauerstraße
26,1057538252,restaurant,Brasserie am Gendarmenmarkt,52.5134229,13.3940394,,,Berlin,Taubenstraße
27,1110086631,restaurant,Super Ibérico,52.5053204,13.3940873,,,Berlin,Markgrafenstraße
28,1120243900,restaurant,Spitteleck,52.5111321,13.4026843,+49 30 80492910,http://spitteleck.de/,Berlin,Seydelstraße
29,1127222450,restaurant,Wirtshaus am Ufer,52.4990849,13.3861747,,,Berlin,Hallesches Ufer
30,1251095626,restaurant,Peking Ente,52.5114767,13.3828541,,,Berlin,Voßstraße
31,1271006408,restaurant,Willy's Bistro,52.500366,13.388343,,,Berlin,Wilhelmstraße
32,1278753315,restaurant,piazza papà pane,52.5025227,13.3886738,,https://papapane.de/,Berlin,Wilhelmstraße
33,1306551401,bar,Viet Bowl,52.5079443,13.3929391,,,Berlin,Zimmerstraße
34,1397070400,restaurant,Peppone,52.510371,13.37852,,,Berlin,Leipziger Platz
35,1431856371,restaurant,Steakhouse Asador,52.5036412,13.3880831,+49 30 25931818,https://restaurant-asador.de/,Berlin,Wilhelmstraße
36,1453995663,restaurant,La Piccola,52.5054025,13.3974265,,,Berlin,Ritterstraße
37,1484847608,restaurant,Diomira,52.5026176,13.3851524,,,Berlin,Hedemannstraße
38,1602537128,restaurant,Noumi,52.5143727,13.3976164,+49 30 20649007,https://noumi-noodles.com/,Berlin,Jägerstraße
39,1634049200,restaurant,Otito,52.5102517,13.3904689,,,Berlin,Leipziger Straße
40,1675606837,restaurant,Huong Lua,52.5087983,13.3919174,,,Berlin,Charlottenstraße
41,1693343179,restaurant,Hugo & Notte,52.5141922,13.3919267,+49 30 5268021730,https://hugo-und-notte.de/,Berlin,
42,1726845091,restaurant,Delhi 6,52.5019404,13.3910883,+49 30 2516775,https://delhi6.de/,Berlin,Friedrichstraße
43,1780605514,restaurant,Ristorante Bocca Felice,52.5087041,13.4045741,,,Berlin,Seydelstraße
44,1780605521,restaurant,World of Pizza,52.5085311,13.4053466,+49 30 40044474,https://www.world-of-pizza.de/#berlin-mitte,Berlin,Seydelstraße
45,1814087037,restaurant,Da Vinci,52.5043488,13.3910913,+49 30 20686904,https://hotel-angleterre.de/gastronomie/,,
46,1839915551,bar,Restaurant Paracas II,52.5016407,13.3915274,,,Berlin,Friedrichstraße
47,1964264412,bar,Braufactum Berlin,52.5133633,13.3959964,,,Berlin,Hausvogteiplatz
48,2008618822,restaurant,Restaurant Glashaus,52.5051272,13.3972549,,,Berlin,Lindenstraße
49,2008848628,bar,Kori & Fay,52.5069034,13.3910997,,,Berlin,Rudi-Dutschke-Straße
50,2038343429,restaurant,Café Journale,52.5068334,13.3983221,+49 30 25292945,http://www.cafejournale.de,Berlin,Lindenstraße
51,2121100044,restaurant,Nanoosh,52.5123148,13.3910599,,https://nanoosh-germany.de/,Berlin,Mohrenstraße
52,2121100045,bar,Sagrantino,52.5158454,13.3901542,,http://www.sagrantino-winebar.de,,
53,2181178770,restaurant,Tim Raue,52.506883,13.3913836,,,Berlin,Rudi-Dutschke-Straße
54,2181178797,restaurant,Ishin,52.5079532,13.3926131,,,Berlin,Charlottenstraße
55,2347992508,restaurant,Kantine Umweltministerium,52.507879,13.3783891,,,Berlin,Stresemannstraße
56,2769572074,restaurant,Linh yu!,52.5060388,13.3800036,+49 30 26101607,,Berlin,Stresemannstraße
57,2798961104,restaurant,Caramel,52.5076992,13.3930233,+49 30 25931958,http://www.caramelberlin.de/,Berlin,Zimmerstraße
58,3102399604,restaurant,Hasir Beef Grill Club,52.5101883,13.3795899,,,,
